P(1,1) | (a,b,d) = (2,3,4)  
P(2,1) | (a,b,d) = (3,5,5)  
P(2,2) | (a,b,d) = (4,5,12)  
P(2,2) | (a,b,d) = (4,6,8)  
P(3,3) | (a,b,d) = (6,7,24)  
P(3,3) | (a,b,d) = (6,8,15)  
P(3,3) | (a,b,d) = (6,9,12)  
P(4,4) | (a,b,d) = (8,9,40)  
P(2,4) | (a,b,d) = (6,10,10)  
P(4,4) | (a,b,d) = (8,10,24)  
P(5,5) | (a,b,d) = (10,11,60)  
P(4,4) | (a,b,d) = (8,12,16)  
P(5,5) | (a,b,d) = (10,12,35)  
P(8,1) | (a,b,d) = (9,13,13)  
P(6,6) | (a,b,d) = (12,13,84)  
P(6,6) | (a,b,d) = (12,14,48)  
P(6,3) | (a,b,d) = (9,15,15)  
P(5,5) | (a,b,d) = (10,15,20)  
P(6,6) | (a,b,d) = (12,15,36)  
P(6,6) | (a,b,d) = (12,16,30)  
P(7,7) | (a,b,d) = (14,16,63)  
P(9,2) | (a,b,d) = (11,17,17)  
P(6,6) | (a,b,d) = (12,18,24)  
P(8,8) | (a,b,d) = (16,18,80)  
P(4,8) | (a,b,d) = (12,20,20)  
P(6,6) | (a,b,d) = (12,20,21)  
P(8,8) | (a,b,d) = (16,20,48)  
P(7,7) | (a,b,d) = (14,21,28)  
P(9,9) | (a,b,d) = (18,21,72)  
P(8,8) | (a,b,d) = (16,24,32)  
P(9,9) | (a,b,d) = (18,24,45)  
P(10,10) | (a,b,d) = (20,24,70)  
P(10,5) | (a,b,d) = (15,25,25)  
P(18,1) | (a,b,d) = (19,25,25)  
P(10,10) | (a,b,d) = (20,25,60)  
P(2,16) | (a,b,d) = (18,26,26)  
P(9,9) | (a,b,d) = (18,27,36)  
P(10,10) | (a,b,d) = (20,28,45)  
P(9,8) | (a,b,d) = (17,29,29)  
P(6,12) | (a,b,d) = (18,30,30)  
P(10,10) | (a,b,d) = (20,30,40)  
P(12,12) | (a,b,d) = (24,32,60)  
P(11,11) | (a,b,d) = (22,33,44)  
P(12,12) | (a,b,d) = (24,33,56)  
P(4,18) | (a,b,d) = (22,34,34)  
P(14,7) | (a,b,d) = (21,35,35)  
P(12,12) | (a,b,d) = (24,36,48)  
P(25,2) | (a,b,d) = (27,37,37)  
P(24,3) | (a,b,d) = (27,39,39)  
P(13,13) | (a,b,d) = (26,39,52)  
P(8,16) | (a,b,d) = (24,40,40)  
P(12,12) | (a,b,d) = (24,40,42)  
P(32,1) | (a,b,d) = (33,41,41)  
P(14,14) | (a,b,d) = (28,42,56)  
P(18,9) | (a,b,d) = (27,45,45)  
